
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
3.40552,3.40552,3.40552,µm,Spot,Diameter,8,1000026660,230497,
2.87233,2.87233,2.87233,µm,Spot,Diameter,8,1000028860,230918,
3.16141,3.16141,3.16141,µm,Spot,Diameter,8,1000058544,231336,
3.6189,3.6189,3.6189,µm,Spot,Diameter,8,1000029962,231689,
2.70297,2.70297,2.70297,µm,Spot,Diameter,8,1000117221,232329,
4.06442,4.06442,4.06442,µm,Spot,Diameter,8,1000145899,232497,
2.87233,2.87233,2.87233,µm,Spot,Diameter,8,1000232501,232501,
3.89834,3.89834,3.89834,µm,Spot,Diameter,9,1000178867,236041,
3.16141,3.16141,3.16141,µm,Spot,Diameter,9,1000034728,236229,
4.74209,4.74209,4.74209,µm,Spot,Diameter,9,1000005575,237846,
4.49529,4.49529,4.49529,µm,Spot,Diameter,9,1000094504,238096,
3.51545,3.51545,3.51545,µm,Spot,Diameter,9,1000008102,240127,
4.49529,4.49529,4.49529,µm,Spot,Diameter,9,1000071729,244439,
3.51545,3.51545,3.51545,µm,Spot,Diameter,9,1000244446,244446,
4.91159,4.91159,4.91159,µm,Spot,Diameter,9,1000158060,244507,
3.16141,3.16141,3.16141,µm,Spot,Diameter,9,1000069455,244734,
3.16141,3.16141,3.16141,µm,Spot,Diameter,9,1000130081,244994,
3.28799,3.28799,3.28799,µm,Spot,Diameter,9,1000014633,245823,
5.6637,5.6637,5.6637,µm,Spot,Diameter,9,1000014915,246314,
3.89834,3.89834,3.89834,µm,Spot,Diameter,9,1000074239,246863,
5.0184,5.0184,5.0184,µm,Spot,Diameter,9,1000218062,246918,
3.6189,3.6189,3.6189,µm,Spot,Diameter,9,1000018381,249362,
2.50922,2.50922,2.50922,µm,Spot,Diameter,9,1000221333,249997,
4.1426,4.1426,4.1426,µm,Spot,Diameter,9,1000019405,250348,
1.58071,1.58071,1.58071,µm,Spot,Diameter,9,1000165097,251399,
3.51545,3.51545,3.51545,µm,Spot,Diameter,9,1000136105,251464,
3.02378,3.02378,3.02378,µm,Spot,Diameter,9,1000224234,252909,
5.07014,5.07014,5.07014,µm,Spot,Diameter,9,1000224241,252913,
3.16141,3.16141,3.16141,µm,Spot,Diameter,9,1000224431,253095,
4.49529,4.49529,4.49529,µm,Spot,Diameter,9,1000135496,253178,
3.89834,3.89834,3.89834,µm,Spot,Diameter,9,1000196023,253490,
1.58071,1.58071,1.58071,µm,Spot,Diameter,9,1000253547,253547,
3.51545,3.51545,3.51545,µm,Spot,Diameter,9,1000080712,253569,
3.98311,3.98311,3.98311,µm,Spot,Diameter,9,1000138478,253896,
3.28799,3.28799,3.28799,µm,Spot,Diameter,9,1000196749,254212,
3.98311,3.98311,3.98311,µm,Spot,Diameter,9,1000111173,254504,
3.98311,3.98311,3.98311,µm,Spot,Diameter,9,1000226383,255067,
4.06442,4.06442,4.06442,µm,Spot,Diameter,9,1000025863,256714,
2.70297,2.70297,2.70297,µm,Spot,Diameter,9,1000026374,256892,
3.40552,3.40552,3.40552,µm,Spot,Diameter,9,1000026660,257187,
3.02378,3.02378,3.02378,µm,Spot,Diameter,9,1000199932,257298,
3.16141,3.16141,3.16141,µm,Spot,Diameter,9,1000257305,257305,
3.71676,3.71676,3.71676,µm,Spot,Diameter,9,1000024512,257487,
3.51545,3.51545,3.51545,µm,Spot,Diameter,9,1000027245,257516,
4.55952,4.55952,4.55952,µm,Spot,Diameter,9,1000027048,257607,
1.58071,1.58071,1.58071,µm,Spot,Diameter,9,1000027656,258625,
2.70297,2.70297,2.70297,µm,Spot,Diameter,9,1000028860,259655,
3.51545,3.51545,3.51545,µm,Spot,Diameter,9,1000029962,260412,
3.02378,3.02378,3.02378,µm,Spot,Diameter,9,1000260417,260417,
2.87233,2.87233,2.87233,µm,Spot,Diameter,9,1000260594,260594,
2.50922,2.50922,2.50922,µm,Spot,Diameter,9,1000117221,261077,
3.40552,3.40552,3.40552,µm,Spot,Diameter,9,1000145899,261278,
3.40552,3.40552,3.40552,µm,Spot,Diameter,9,1000232501,261285,
4.06442,4.06442,4.06442,µm,Spot,Diameter,10,1000178867,264958,
3.71676,3.71676,3.71676,µm,Spot,Diameter,10,1000034728,265173,
4.1426,4.1426,4.1426,µm,Spot,Diameter,10,1000094504,266925,
3.6189,3.6189,3.6189,µm,Spot,Diameter,10,1000008102,269091,
3.40552,3.40552,3.40552,µm,Spot,Diameter,10,1000244446,273132,
3.80971,3.80971,3.80971,µm,Spot,Diameter,10,1000071729,273397,
4.79993,4.79993,4.79993,µm,Spot,Diameter,10,1000158060,273457,
4.1426,4.1426,4.1426,µm,Spot,Diameter,10,1000130081,274092,
3.02378,3.02378,3.02378,µm,Spot,Diameter,10,1000014633,274815,
4.62199,4.62199,4.62199,µm,Spot,Diameter,10,1000218062,275628,
3.16141,3.16141,3.16141,µm,Spot,Diameter,10,1000275823,275823,
3.28799,3.28799,3.28799,µm,Spot,Diameter,10,1000074239,275844,
2.87233,2.87233,2.87233,µm,Spot,Diameter,10,1000018381,278435,
3.16141,3.16141,3.16141,µm,Spot,Diameter,10,1000278844,278844,
