
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
73,,Spot,2,Image 1,12,1000034728,323630,
88,,Spot,2,Image 1,12,1000327258,327258,
21,,Spot,2,Image 1,12,1000008102,327597,
46,,Spot,2,Image 1,12,1000244446,331820,
0,,Spot,2,Image 1,12,1000071729,332124,
19,,Spot,2,Image 1,12,1000014633,333504,
59,,Spot,2,Image 1,12,1000275823,334574,
0,,Spot,2,Image 1,12,1000074239,334588,
0,,Spot,2,Image 1,12,1000218062,334649,
0,,Spot,2,Image 1,12,1000158060,334766,
0,,Spot,2,Image 1,12,1000278844,337535,
3,,Spot,2,Image 1,12,1000221333,337717,
13,,Spot,2,Image 1,12,1000224234,338033,
0,,Spot,2,Image 1,12,1000019405,338084,
20,,Spot,2,Image 1,12,1000338312,338312,
251,,Spot,2,Image 1,12,1000165097,338811,
38,,Spot,2,Image 1,12,1000224241,340544,
29,,Spot,2,Image 1,12,1000224431,340696,
0,,Spot,2,Image 1,12,1000196023,340725,
0,,Spot,2,Image 1,12,1000253547,340780,
15,,Spot,2,Image 1,12,1000282540,341020,
32,,Spot,2,Image 1,12,1000282868,341314,
0,,Spot,2,Image 1,12,1000080712,341500,
0,,Spot,2,Image 1,12,1000196749,341815,
0,,Spot,2,Image 1,12,1000312915,342010,
0,,Spot,2,Image 1,12,1000111173,342104,
0,,Spot,2,Image 1,12,1000226383,342656,
0,,Spot,2,Image 1,12,1000027048,342982,
63,,Spot,2,Image 1,12,1000026374,344546,
22,,Spot,2,Image 1,12,1000026660,344833,
2,,Spot,2,Image 1,12,1000199932,344942,
0,,Spot,2,Image 1,12,1000257305,344953,
0,,Spot,2,Image 1,12,1000024512,345116,
67,,Spot,2,Image 1,12,1000260417,347970,
0,,Spot,2,Image 1,12,1000260594,348147,
0,,Spot,2,Image 1,12,1000145899,348845,
0,,Spot,2,Image 1,12,1000232501,348849,
0,,Spot,2,Image 1,12,1000290426,348853,
60,,Spot,2,Image 1,13,1000290900,349380,
0,,Spot,2,Image 1,13,1000320447,349580,
0,,Spot,2,Image 1,13,1000178867,352590,
32,,Spot,2,Image 1,13,1000034728,352773,
0,,Spot,2,Image 1,13,1000354440,354440,
0,,Spot,2,Image 1,13,1000354480,354480,
138,,Spot,2,Image 1,13,1000327258,356160,
35,,Spot,2,Image 1,13,1000008102,356736,
198,,Spot,2,Image 1,13,1000244446,360874,
0,,Spot,2,Image 1,13,1000071729,361148,
20,,Spot,2,Image 1,13,1000014633,362490,
19,,Spot,2,Image 1,13,1000275823,363531,
46,,Spot,2,Image 1,13,1000074239,363546,
0,,Spot,2,Image 1,13,1000218062,363606,
0,,Spot,2,Image 1,13,1000278844,366498,
0,,Spot,2,Image 1,13,1000221333,366718,
0,,Spot,2,Image 1,13,1000224241,367020,
11,,Spot,2,Image 1,13,1000019405,367076,
