
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,17,1000019064,19393,
1,,Surface,17,1000018947,19394,
1,,Surface,17,1000019395,19395,
1,,Surface,17,1000019396,19396,
1,,Surface,17,1000019284,19397,
1,,Surface,17,1000019324,19398,
1,,Surface,17,1000019108,19399,
1,,Surface,17,1000019361,19400,
1,,Surface,17,1000018759,19401,
1,,Surface,17,1000019114,19402,
1,,Surface,17,1000018970,19403,
1,,Surface,17,1000018761,19404,
1,,Surface,17,1000019405,19405,
1,,Surface,17,1000018762,19406,
1,,Surface,17,1000019216,19407,
1,,Surface,17,1000018764,19408,
1,,Surface,17,1000019297,19409,
1,,Surface,17,1000018766,19410,
1,,Surface,17,1000018799,19411,
1,,Surface,17,1000019412,19412,
1,,Surface,17,1000019152,19413,
1,,Surface,17,1000019240,19414,
1,,Surface,17,1000018770,19415,
1,,Surface,17,1000019150,19416,
1,,Surface,17,1000019340,19417,
1,,Surface,17,1000019180,19418,
1,,Surface,17,1000019133,19419,
1,,Surface,17,1000019087,19420,
1,,Surface,17,1000018773,19421,
1,,Surface,17,1000019271,19422,
1,,Surface,17,1000019310,19423,
1,,Surface,17,1000018774,19424,
1,,Surface,17,1000019049,19425,
1,,Surface,17,1000019350,19426,
1,,Surface,17,1000019191,19427,
1,,Surface,17,1000018776,19428,
1,,Surface,17,1000019353,19429,
1,,Surface,17,1000019354,19430,
1,,Surface,17,1000018779,19431,
1,,Surface,18,1000019064,19432,
1,,Surface,18,1000019395,19433,
1,,Surface,18,1000019396,19434,
1,,Surface,18,1000019284,19435,
1,,Surface,18,1000019436,19436,
1,,Surface,18,1000019324,19437,
1,,Surface,18,1000019108,19438,
1,,Surface,18,1000019361,19439,
1,,Surface,18,1000018759,19440,
1,,Surface,18,1000018970,19441,
1,,Surface,18,1000019114,19442,
1,,Surface,18,1000019405,19443,
1,,Surface,18,1000018762,19444,
1,,Surface,18,1000019216,19445,
1,,Surface,18,1000018764,19446,
1,,Surface,18,1000019297,19447,
1,,Surface,18,1000018766,19448,
1,,Surface,18,1000018799,19449,
1,,Surface,18,1000019450,19450,
1,,Surface,18,1000019412,19451,
1,,Surface,18,1000019152,19452,
1,,Surface,18,1000019240,19453,
1,,Surface,18,1000018770,19454,
1,,Surface,18,1000019150,19455,
1,,Surface,18,1000019340,19456,
1,,Surface,18,1000019180,19457,
1,,Surface,18,1000019133,19458,
1,,Surface,18,1000019087,19459,
1,,Surface,18,1000018773,19460,
1,,Surface,18,1000019271,19461,
1,,Surface,18,1000019310,19462,
1,,Surface,18,1000018774,19463,
1,,Surface,18,1000019049,19464,
1,,Surface,18,1000019465,19465,
1,,Surface,18,1000019350,19466,
1,,Surface,18,1000019191,19467,
1,,Surface,18,1000018776,19468,
1,,Surface,18,1000019353,19469,
1,,Surface,18,1000019354,19470,
1,,Surface,19,1000019064,19471,
1,,Surface,19,1000019472,19472,
1,,Surface,19,1000019395,19473,
1,,Surface,19,1000019396,19474,
1,,Surface,19,1000019284,19475,
1,,Surface,19,1000019436,19476,
1,,Surface,19,1000019477,19477,
