
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
120.271,32.8102,78.5328,°,Surface,Velocity Angle,7,1000019003,19003,
125.999,66.935,135.066,°,Surface,Velocity Angle,7,1000019004,19004,
160.847,92.5811,71.0325,°,Surface,Velocity Angle,7,1000018774,19005,
123.694,146.314,90.0027,°,Surface,Velocity Angle,7,1000018775,19006,
102.098,167.91,90.0027,°,Surface,Velocity Angle,7,1000019007,19007,
180.005,90.0027,90.0027,°,Surface,Velocity Angle,7,1000018776,19008,
171.812,82.4335,86.8843,°,Surface,Velocity Angle,7,1000018777,19009,
157.126,96.2896,111.906,°,Surface,Velocity Angle,7,1000018809,19010,
124.137,145.817,91.6994,°,Surface,Velocity Angle,7,1000018919,19011,
106.392,16.3898,90.0027,°,Surface,Velocity Angle,7,1000018778,19012,
127.185,142.591,93.5798,°,Surface,Velocity Angle,7,1000018964,19013,
127.053,142.955,90.0027,°,Surface,Velocity Angle,7,1000018779,19014,
34.9927,124.995,90.0027,°,Surface,Velocity Angle,8,1000018947,19015,
150.961,72.8314,112.672,°,Surface,Velocity Angle,8,1000018812,19016,
136.077,113.84,55.6783,°,Surface,Velocity Angle,8,1000018755,19017,
18.4355,108.438,90.0027,°,Surface,Velocity Angle,8,1000018756,19018,
85.051,140.976,128.595,°,Surface,Velocity Angle,8,1000018759,19019,
57.3438,65.9404,42.559,°,Surface,Velocity Angle,8,1000018816,19020,
115.919,87.9659,26.0087,°,Surface,Velocity Angle,8,1000018760,19021,
71.4044,124.385,40.432,°,Surface,Velocity Angle,8,1000018788,19022,
104.898,88.2353,165.001,°,Surface,Velocity Angle,8,1000018858,19023,
83.3691,96.6358,170.603,°,Surface,Velocity Angle,8,1000018970,19024,
151.21,68.5855,71.6935,°,Surface,Velocity Angle,8,1000018930,19025,
97.0555,164.183,104.092,°,Surface,Velocity Angle,8,1000018761,19026,
140.285,129.723,90.0027,°,Surface,Velocity Angle,8,1000018762,19027,
104.039,165.969,90.0027,°,Surface,Velocity Angle,8,1000018933,19028,
116.849,123.604,134.421,°,Surface,Velocity Angle,8,1000018764,19029,
127.001,142.524,95.174,°,Surface,Velocity Angle,8,1000018763,19030,
91.747,160.656,70.738,°,Surface,Velocity Angle,8,1000018794,19031,
118.627,106.276,146.295,°,Surface,Velocity Angle,8,1000018978,19032,
118.085,97.6324,150.723,°,Surface,Velocity Angle,8,1000018766,19033,
30.4153,108.87,67.0779,°,Surface,Velocity Angle,8,1000018867,19034,
113.435,123.118,42.5114,°,Surface,Velocity Angle,8,1000018768,19035,
153.439,116.569,90.0027,°,Surface,Velocity Angle,8,1000018797,19036,
131.884,138.123,89.7612,°,Surface,Velocity Angle,8,1000018799,19037,
122.583,71.1535,38.9002,°,Surface,Velocity Angle,8,1000018904,19038,
146.44,112.874,66.8476,°,Surface,Velocity Angle,8,1000018769,19039,
64.8157,148.333,72.0924,°,Surface,Velocity Angle,8,1000018770,19040,
146.315,56.3119,90.0027,°,Surface,Velocity Angle,8,1000018996,19041,
